L,a,b,term
51.57,35.21,-24.66,BA
41.22,-0.21,42.37,NG
61.7,-21.81,70.54,DA
30.77,28.16,36.05,NG
91.08,4.31,-2.82,EL
91.08,-9.03,45.94,DA
20.54,35.97,-6.33,NG
91.08,-6.32,-5.08,EL
51.57,22.05,-37.02,NG
20.54,-14.85,15.25,NG
20.54,26.82,-27.84,BA
91.08,5.41,0.74,EL
71.6,-40.91,1.15,BA
71.6,0.85,-31.32,BA
20.54,1.58,11.89,NG
30.77,-10.88,-24.2,NG
71.6,-9.51,87.14,DA
30.77,40.89,36.03,NG
91.08,-14.67,29.61,EL
91.08,2.95,-4.85,EL
61.7,-0.04,0.04,NG
30.77,-39.23,16.6,NG
41.22,32.37,46.62,NG
20.54,35.44,-10.4,NG
51.57,46.17,-23.4,BA
61.7,22.09,71.31,DA
20.54,-27.43,4.26,NG
91.08,-3.48,-5.55,EL
91.08,-0.05,0.06,EL
61.7,-7.92,73.21,NG
71.6,34.96,37.54,DA
30.77,25.75,-49.63,BA
61.7,-55.94,49.19,BA
30.77,18.18,30.27,NG
91.08,-9.69,-3.22,EL
91.08,2.19,-4.93,EL
51.57,5.33,54.9,NG
71.6,-27.52,-7.11,BA
91.08,4.3,10.08,EL
51.57,5.02,-48.35,NG
91.08,-13.22,3.82,EL
91.08,-4.65,-5.34,EL
41.22,9.31,37.8,NG
30.77,33.51,-35.69,NG
81.35,7.28,109.12,DA
71.6,-0.04,0.05,NG
91.08,5.54,4.46,EL
81.35,-0.24,-24.03,EL
51.57,-18.37,55.88,BA
20.54,34.44,-14.69,NG
51.57,-27.95,-22.24,BA
61.7,20.07,-26.92,BA
30.77,-3.32,26.87,NG
41.22,-14.67,-30.69,NG
20.54,-0.02,0.02,NG
91.08,5.27,-0.1,EL
71.6,-46.7,41.31,BA
30.77,44.87,-16.65,NG
71.6,30.67,44.56,DA
91.08,4.7,-2,EL
51.57,-11.71,58.46,NG
30.77,-39.18,2.14,BA
91.08,5.43,5.64,EL
30.77,42.44,-23.6,NG
71.6,6.22,81.95,DA
91.08,-7.96,-4.41,EL
41.22,17.04,45.95,NG
91.08,-11.94,-0.27,EL
61.7,-4.52,-39.18,LU
81.35,-19.64,-4.3,EL
20.54,24.14,-14.33,NG
81.35,-33.04,4.96,GA
81.35,14.87,30.96,AY
61.7,-46.97,64.65,RA
41.22,22.15,41.13,AY
20.54,7.63,-35.92,NG
20.54,-16.13,-4.67,LU
81.35,-10.94,87.9,AY
20.54,-27.79,7.33,GA
20.54,-9.52,-13.99,NG
81.35,18.74,-12.74,AY
81.35,-0.05,0.06,EL
20.54,-1.74,11.57,NG
61.7,-16.81,-28.31,NG
51.57,-56.86,49.22,LU
61.7,49.38,2.78,ED
91.08,-5.25,45.24,AY
51.57,31.24,-29.94,NG
30.77,-0.15,26.58,NG
41.22,-24.01,-14.24,NG
30.77,7.86,-43.39,BA
91.08,5.21,7.67,EL
61.7,40.07,-3.44,ED
71.6,-41.95,14.43,LU
51.57,29.45,64.44,AY
81.35,-18.27,-7.01,EL
61.7,37.1,-18.34,EL
71.6,-40.28,53.23,LU
51.57,-11.88,-38.56,NG
71.6,38.22,29.22,ED
20.54,-26.87,1.22,GA
61.7,2.64,-39.49,NG
41.22,-38.39,31.53,NG
61.7,-29.22,-21.27,GA
61.7,-1.4,71.61,NG
20.54,0.11,-26.61,NG
91.08,5.44,1.5,EL
61.7,-51.58,26.3,NG
51.57,-0.03,0.04,NG
20.54,-17.35,7.46,NG
61.7,14.45,76.93,AY
71.6,-22.32,-14.67,EL
20.54,22.74,-16.65,NG
30.77,9.51,37.16,AY
91.08,-12.29,10.56,EL
30.77,46.93,-2.51,NG
41.22,-33.18,41.15,LU
61.7,-33.16,-16.42,NG
81.35,21.06,22.4,AY
30.77,-22.84,-15.29,NG
51.57,-0.48,57.27,AY
81.35,9.68,-11.26,EL
20.54,-11.72,-12.03,NG
30.77,46.08,20.6,ED
61.7,15.28,-29.05,LU
71.6,32.18,12.57,AY
41.22,-2.09,-40.81,NG
51.57,59.69,1.53,ED
91.08,1.28,14.41,EL
81.35,-33.8,12.41,LU
61.7,38.67,-11.63,ED
41.22,-9.31,43.05,NG
81.35,5.82,-13.42,EL
20.54,36.82,3.13,AY
41.22,-53.43,8.61,NG
30.77,36.9,-32.14,AY
81.35,-13.22,-11.59,EL
20.54,-16.46,11.28,GA
51.57,40.53,69.04,ED
51.57,-32.36,-17.71,NG
81.35,21.03,-9.69,AY
30.77,-0.02,0.03,NG
41.22,-10.54,-39.65,NG
61.7,-30.13,65.11,GA
71.6,-39.21,-4.56,NG
91.08,-0.46,29.79,AY
81.35,22.67,17.48,LU
51.57,-52.87,15.46,NG
71.6,38.97,-10.98,AY
20.54,-4.47,9.36,NG
41.22,46.93,-24.7,ED
15.6,-0.02,0.02,NG
20.54,-15.07,-7.11,GA
71.6,-24.87,85.15,AY
91.08,3.14,12.37,EL
41.22,-21.08,-28.21,NG
20.54,3.62,11.09,NG
91.08,-13.24,5.48,EL
81.35,-3.69,100.18,AY
30.77,28.36,-39.75,NG
41.22,61.4,17.92,ED
71.6,16.13,-17.52,NG
81.35,-21.19,-1.35,EL
30.77,46.25,-9.51,ED
71.6,6.06,-22.71,EL
41.22,-4.87,43.26,NG
71.6,-14.22,-19.9,LU
41.22,36.48,-25.75,ED
91.08,-12.17,45.9,EL
91.08,3.36,-4.24,EL
91.08,-12.69,1.23,EL
41.22,20.81,-48.05,NG
71.6,15.62,90.72,AY
30.77,-13.04,21.97,NG
51.57,59.79,10.72,ED
20.54,-0.11,12.03,NG
30.77,-25.67,-10.89,NG
30.77,47.34,12.58,ED
81.35,-10.44,-12.79,EL
20.54,13.28,18.21,NG
71.6,40.04,-2.7,AY
61.7,-51.88,5.51,GA
91.08,1.12,-5.38,EL
61.7,49.15,56.82,ED
41.22,-53.57,23.28,NG
41.22,-20.46,-17.64,NG
81.35,-30.49,65.57,GA
61.7,44.69,79.79,ED
71.6,32.41,7.97,AY
20.54,-17.18,-1.47,NG
81.35,-17.25,87.99,AY
91.08,5.53,2.22,EL
30.77,-6.44,26.57,NG
30.77,39.78,-27.99,NG
41.22,51.06,58.81,AY
30.77,-39.62,10.61,NG
20.54,15.99,14.49,NG
41.22,49.84,-17.34,NG
61.7,-36.77,-10.9,LU
30.77,-23.96,27.29,NG
71.6,-12.05,-29.46,GA
81.35,8.19,-12.62,EL
30.77,-7.86,-33.8,NG
96,-0.06,0.06,EL
81.35,3.22,-14.27,NG
71.6,-34.49,79.15,AY
20.54,23.12,-31.33,NG
71.6,-41.54,5.41,GA
71.6,-2.3,85.64,AY
61.7,-41.11,0.19,GA
41.22,59.5,30.17,ED
81.35,-38.45,34.02,GA
20.54,29.26,-25.01,NG
71.6,31.7,17.23,AY
71.6,26.62,-18.32,NG
61.7,-13.07,-37.55,NG
41.22,-0.03,0.03,NG
30.77,3.1,25.71,NG
41.22,-52.68,3.36,NG
30.77,13.89,33.8,AY
91.08,-0.37,-5.58,EL
81.35,14.98,47.04,AY
81.35,23.82,2.52,AY
71.6,-41.85,9.77,GA
41.22,61.57,8.63,ED
41.22,-36.33,-13.61,NG
41.22,-14.57,40.52,NG
20.54,-9.22,-24.04,NG
71.6,13.67,-19.66,EL
30.77,-49.93,6.94,NG
51.57,-15.72,-29.08,NG
20.54,-13.39,-9.92,NG
41.22,-19.48,36.56,AY
91.08,-1.49,-5.61,EL
61.7,49.67,10.71,ED
81.35,15.1,90.21,AY
81.35,-16.44,-9.33,EL
61.7,48.53,25.92,ED
91.08,-16.65,44.66,EL
30.77,0.29,-43.03,NG
20.54,35.15,15.44,NG
61.7,-52.22,16.26,NG
61.7,5.87,68.59,AY
20.54,36.42,-2.08,NG
41.22,4.42,40.43,NG
41.22,33.08,-30.5,NG
51.57,19.79,58.75,AY
71.6,-25.13,-11.03,GA
71.6,24.12,84.39,AY
51.57,-21.72,-26.63,NG
81.35,-5.05,-23.28,EL
81.35,23.53,-0.96,AY
41.22,-39.09,-8.33,NG
51.57,27.4,-33.72,NG
20.54,36.64,9.24,NG
51.57,-40.14,52.84,NG
81.35,-32.18,1.81,EL
61.7,23.29,-23.79,NG
20.54,-3.09,10.75,NG
91.08,-13.13,7.63,EL
81.35,23.18,13.11,AY
51.57,-63.28,28.95,NG
51.57,48.98,-15.95,ED
20.54,10.16,21.44,NG
41.22,24.29,-38.02,PA
91.08,-10.76,13.38,EL
51.57,51.2,-5.84,AY
51.57,13.12,63.99,NG
30.77,-27.32,-6.72,NG
20.54,25.15,16.6,NG
61.7,-22.98,-25.73,GA
71.6,32.89,77.02,ED
71.6,10.25,-21.6,EL
71.6,29.26,-13.95,ED
30.77,-10.05,24.97,NG
81.35,23.67,9.47,AY
61.7,-14.02,73.17,NG
91.08,-12.96,2.42,EL
51.57,14.19,-39.14,NG
91.08,-10.86,-2.13,EL
41.22,29.49,-34.06,NG
51.57,-51.99,4.46,NG
91.08,5.04,-1.14,EL
51.57,-6.4,58.71,NG
30.77,-19.73,-18.89,NG
20.54,-5.36,7.98,NG
20.54,-5.25,-25.49,NG
91.08,5.51,3.28,AY
51.57,35.21,-24.66,NG
41.22,-0.21,42.37,NG
61.7,9.58,-30.64,GA
41.22,-54.08,14.27,NG
41.22,7.17,-48.94,NG
61.7,-21.81,70.54,AY
81.35,18.52,26.72,AY
51.57,-36.19,-11.99,NG
71.6,32.47,2.76,ED
30.77,28.16,36.05,NG
91.08,4.31,-2.82,EL
91.08,-9.03,45.94,AY
20.54,35.97,-6.33,NG
91.08,-6.32,-5.08,EL
41.22,56.6,40.99,ED
61.7,-39.17,-5.88,NG
51.57,22.05,-37.02,PA
20.54,-14.85,15.25,NG
30.77,-29.07,-1.92,NG
20.54,26.82,-27.84,NG
81.35,-42.41,23.78,AY
91.08,5.41,0.74,AY
71.6,-40.91,1.15,AY
71.6,0.85,-31.32,NG
20.54,1.58,11.89,NG
61.7,49.42,18.23,ED
30.77,-10.88,-24.2,NG
71.6,-9.51,87.14,AY
30.77,40.89,36.03,NG
91.08,-14.67,29.61,EL
61.7,29.38,64.4,AY
91.08,2.95,-4.85,EL
61.7,-0.04,0.04,NG
81.35,-6.82,-13.92,EL
30.77,-39.23,16.6,NG
41.22,32.37,46.62,AY
20.54,35.44,-10.4,NG
71.6,-51.55,27.69,AY
51.57,46.17,-23.4,ED
61.7,22.09,71.31,AY
20.54,-27.43,4.26,NG
91.08,-3.48,-5.55,EL
61.7,34.47,-24.03,AY
91.08,-0.05,0.06,EL
61.7,-7.92,73.21,NG
41.22,51.84,-8.08,ED
30.77,-15.41,-22,NG
71.6,34.96,37.54,AY
30.77,25.75,-49.63,NG
51.57,-25.02,50.55,GA
41.22,-41.21,-2.07,NG
61.7,-55.94,49.19,NG
30.77,18.18,30.27,NG
91.08,-9.69,-3.22,EL
81.35,22.62,-5.51,AY
91.08,2.19,-4.93,EL
51.57,5.33,54.9,NG
51.57,55.76,42.05,ED
71.6,-27.52,-7.11,GA
91.08,4.3,10.08,AY
51.57,5.02,-48.35,NG
81.35,23.74,6.18,AY
91.08,-13.22,3.82,EL
91.08,-4.65,-5.34,EL
41.22,9.31,37.8,NG
30.77,33.51,-35.69,NG
81.35,7.28,109.12,AY
51.57,58.01,30.52,ED
51.57,-52.69,9.7,NG
71.6,-0.04,0.05,EL
51.57,-51.2,-1.36,NG
91.08,5.54,4.46,AY
81.35,-0.24,-24.03,EL
51.57,-18.37,55.88,NG
20.54,34.44,-14.69,NG
81.35,-40.58,54.46,AY
51.57,-27.95,-22.24,NG
61.7,20.07,-26.92,AY
30.77,-3.32,26.87,NG
61.7,-52.09,10.63,GA
41.22,-14.67,-30.69,NG
20.54,-0.02,0.02,NG
20.54,23.81,-41.87,NG
91.08,5.27,-0.1,EL
71.6,-46.7,41.31,AY
51.57,-38.59,-7,NG
30.77,44.87,-16.65,ED
71.6,30.67,44.56,AY
91.08,4.7,-2,EL
51.57,-11.71,58.46,AY
51.57,59.36,19.67,ED
71.6,-5.09,-30.75,EL
30.77,-39.18,2.14,NG
91.08,5.43,5.64,EL
30.77,42.44,-23.6,NG
71.6,6.22,81.95,AY
91.08,-7.96,-4.41,EL
30.77,-27.26,20.69,NG
41.22,17.04,45.95,NG
91.08,-11.94,-0.27,EL
81.35,-19.64,-4.3,BA
20.54,24.14,-14.33,IN
81.35,14.87,30.96,AY
61.7,-46.97,64.65,ET
30.77,47.63,5.24,IN
41.22,22.15,41.13,PG
20.54,7.63,-35.92,NG
20.54,-16.13,-4.67,ID
20.54,-27.79,7.33,NG
20.54,-9.52,-13.99,NG
81.35,18.74,-12.74,IN
81.35,-0.05,0.06,EL
61.7,46.38,35.47,ED
20.54,-1.74,11.57,ID
61.7,-16.81,-28.31,IS
51.57,-56.86,49.22,ID
61.7,49.38,2.78,ED
91.08,-5.25,45.24,AY
51.57,31.24,-29.94,IN
30.77,-0.15,26.58,NG
41.22,-24.01,-14.24,ID
30.77,7.86,-43.39,NG
91.08,5.21,7.67,TA
61.7,40.07,-3.44,ED
71.6,-41.95,14.43,ID
51.57,29.45,64.44,PG
81.35,-18.27,-7.01,AP
61.7,37.1,-18.34,IN
71.6,-40.28,53.23,ID
51.57,-11.88,-38.56,DI
20.54,-26.87,1.22,ID
61.7,2.64,-39.49,IN
41.22,-38.39,31.53,ID
20.54,0.11,-26.61,NG
91.08,5.44,1.5,TA
61.7,-51.58,26.3,ID
51.57,-0.03,0.04,NG
20.54,-17.35,7.46,NG
71.6,-22.32,-14.67,IN
20.54,22.74,-16.65,NG
30.77,9.51,37.16,PG
91.08,-12.29,10.56,EL
41.22,-33.18,41.15,ID
81.35,21.06,22.4,PG
51.57,-0.48,57.27,PG
81.35,9.68,-11.26,TA
20.54,-11.72,-12.03,NG
61.7,15.28,-29.05,BA
41.22,-2.09,-40.81,NG
51.57,59.69,1.53,AN
91.08,1.28,14.41,EL
81.35,5.82,-13.42,EL
41.22,-53.43,8.61,ID
30.77,36.9,-32.14,IN
81.35,-13.22,-11.59,IS
20.54,-16.46,11.28,NG
51.57,40.53,69.04,AY
30.77,-0.02,0.03,NG
71.6,-39.21,-4.56,AP
91.08,-0.46,29.79,EL
51.57,-52.87,15.46,IN
20.54,-4.47,9.36,NG
15.6,-0.02,0.02,NG
20.54,-15.07,-7.11,NG
91.08,3.14,12.37,EL
20.54,3.62,11.09,NG
91.08,-13.24,5.48,EL
81.35,-3.69,100.18,AY
41.22,61.4,17.92,AN
71.6,16.13,-17.52,IN
81.35,-21.19,-1.35,ET
30.77,46.25,-9.51,ED
91.08,3.36,-4.24,EL
91.08,-12.69,1.23,EL
71.6,15.62,90.72,AY
30.77,-13.04,21.97,NG
20.54,-0.11,12.03,NG
30.77,47.34,12.58,BA
81.35,-10.44,-12.79,EL
20.54,13.28,18.21,NG
61.7,-51.88,5.51,BA
91.08,1.12,-5.38,EL
41.22,-53.57,23.28,ET
20.54,-17.18,-1.47,NG
91.08,5.53,2.22,EL
30.77,-6.44,26.57,NG
41.22,51.06,58.81,ED
20.54,15.99,14.49,NG
41.22,49.84,-17.34,ED
61.7,-36.77,-10.9,BA
30.77,-23.96,27.29,BA
71.6,-12.05,-29.46,BA
81.35,8.19,-12.62,EL
30.77,-7.86,-33.8,NG
96,-0.06,0.06,EL
81.35,3.22,-14.27,EL
71.6,-34.49,79.15,BA
20.54,23.12,-31.33,NG
71.6,-41.54,5.41,BA
71.6,-2.3,85.64,AY
61.7,-41.11,0.19,ID
81.35,-38.45,34.02,ID
20.54,29.26,-25.01,NG
71.6,31.7,17.23,IN
71.6,26.62,-18.32,IN
41.22,-0.03,0.03,NG
30.77,3.1,25.71,NG
41.22,-52.68,3.36,ID
30.77,13.89,33.8,PG
91.08,-0.37,-5.58,EL
71.6,-41.85,9.77,LU
41.22,-36.33,-13.61,LU
51.57,-3.41,-48.08,NG
41.22,-14.57,40.52,PG
20.54,-9.22,-24.04,NG
30.77,-49.93,6.94,LU
20.54,-13.39,-9.92,NG
91.08,-1.49,-5.61,EL
81.35,15.1,90.21,AY
81.35,-16.44,-9.33,EL
61.7,48.53,25.92,ED
91.08,-16.65,44.66,EL
30.77,0.29,-43.03,NG
61.7,-52.22,16.26,BA
20.54,36.42,-2.08,ON
41.22,33.08,-30.5,IN
71.6,-25.13,-11.03,IN
71.6,24.12,84.39,AY
51.57,-21.72,-26.63,NG
81.35,-5.05,-23.28,EL
81.35,23.53,-0.96,IS
51.57,27.4,-33.72,IN
71.6,-15.98,87.62,ID
20.54,36.64,9.24,PG
51.57,-40.14,52.84,ID
20.54,-3.09,10.75,NG
91.08,-13.13,7.63,EL
81.35,23.18,13.11,ED
51.57,-63.28,28.95,ID
20.54,10.16,21.44,NG
91.08,-10.76,13.38,EL
51.57,51.2,-5.84,ED
71.6,32.89,77.02,ED
71.6,29.26,-13.95,IN
30.77,-10.05,24.97,NG
81.35,23.67,9.47,IN
91.08,-12.96,2.42,EL
91.08,-10.86,-2.13,EL
51.57,-51.99,4.46,ID
91.08,5.04,-1.14,EL
30.77,-19.73,-18.89,NG
20.54,-5.36,7.98,NG
81.35,-33.63,8.67,BA
91.08,5.51,3.28,EL
51.57,35.21,-24.66,ED
41.22,-54.08,14.27,MD
61.7,-21.81,70.54,ID
81.35,18.52,26.72,IN
91.08,4.31,-2.82,EL
91.08,-9.03,45.94,AY
91.08,-6.32,-5.08,EL
41.22,56.6,40.99,ED
20.54,-14.85,15.25,NG
30.77,-29.07,-1.92,ID
91.08,5.41,0.74,EL
71.6,-40.91,1.15,LU
20.54,1.58,11.89,NG
30.77,-10.88,-24.2,NG
71.6,-9.51,87.14,AY
30.77,40.89,36.03,ED
91.08,-14.67,29.61,EL
61.7,29.38,64.4,BA
91.08,2.95,-4.85,EL
61.7,-0.04,0.04,EL
81.35,-6.82,-13.92,EL
30.77,-39.23,16.6,BA
20.54,35.44,-10.4,BA
71.6,-51.55,27.69,EL
51.57,46.17,-23.4,BA
20.54,-27.43,4.26,NG
91.08,-3.48,-5.55,EL
61.7,34.47,-24.03,BA
91.08,-0.05,0.06,EL
51.57,-25.02,50.55,IN
41.22,-41.21,-2.07,BA
61.7,-55.94,49.19,BA
91.08,-9.69,-3.22,EL
81.35,22.62,-5.51,ED
91.08,2.19,-4.93,EL
51.57,55.76,42.05,ED
71.6,-27.52,-7.11,ET
91.08,4.3,10.08,TA
51.57,5.02,-48.35,NG
81.35,23.74,6.18,IN
91.08,-13.22,3.82,EL
91.08,-4.65,-5.34,EL
81.35,7.28,109.12,AY
71.6,-0.04,0.05,EL
91.08,5.54,4.46,EL
81.35,-0.24,-24.03,EL
51.57,-18.37,55.88,BA
81.35,-40.58,54.46,EL
51.57,-27.95,-22.24,BA
30.77,-3.32,26.87,NG
61.7,-52.09,10.63,BA
41.22,-14.67,-30.69,BA
20.54,-0.02,0.02,NG
20.54,23.81,-41.87,BA
91.08,5.27,-0.1,EL
51.57,-38.59,-7,BA
71.6,30.67,44.56,AY
91.08,4.7,-2,EL
30.77,-39.18,2.14,BA
91.08,5.43,5.64,EL
30.77,42.44,-23.6,BA
71.6,6.22,81.95,MG
91.08,-7.96,-4.41,EL
30.77,-27.26,20.69,ET
91.08,-11.94,-0.27,EL
61.7,-4.52,-39.18,BA
81.35,-19.64,-4.3,ID
51.57,55.2,68.32,ED
20.54,24.14,-14.33,PA
81.35,14.87,30.96,DA
20.54,7.63,-35.92,PA
81.35,-10.94,87.9,DA
20.54,-9.52,-13.99,PA
61.7,46.38,35.47,ED
61.7,-16.81,-28.31,ID
61.7,49.38,2.78,ED
91.08,-5.25,45.24,DA
51.57,31.24,-29.94,PA
30.77,-0.15,26.58,NG
30.77,7.86,-43.39,BA
91.08,5.21,7.67,DA
61.7,40.07,-3.44,ED
71.6,-41.95,14.43,BA
81.35,-18.27,-7.01,BA
71.6,-40.28,53.23,BA
51.57,-11.88,-38.56,BA
20.54,-26.87,1.22,NG
61.7,2.64,-39.49,PA
41.22,-38.39,31.53,BA
61.7,-1.4,71.61,DA
20.54,0.11,-26.61,NG
91.08,5.44,1.5,DA
61.7,-51.58,26.3,BA
51.57,-0.03,0.04,NG
20.54,-17.35,7.46,BA
61.7,14.45,76.93,DA
20.54,22.74,-16.65,PA
91.08,-12.29,10.56,EL
30.77,46.93,-2.51,RA
41.22,-33.18,41.15,BA
61.7,-33.16,-16.42,BA
81.35,21.06,22.4,DA
30.77,-22.84,-15.29,PA
51.57,-0.48,57.27,ID
20.54,-11.72,-12.03,NG
30.77,46.08,20.6,ED
61.7,15.28,-29.05,PA
71.6,32.18,12.57,ED
51.57,59.69,1.53,ED
91.08,1.28,14.41,EL
81.35,-33.8,12.41,BA
41.22,-9.31,43.05,ID
81.35,5.82,-13.42,EL
20.54,36.82,3.13,PA
41.22,-53.43,8.61,BA
30.77,36.9,-32.14,PA
20.54,-16.46,11.28,NG
51.57,40.53,69.04,ED
51.57,-32.36,-17.71,BA
30.77,-0.02,0.03,NG
41.22,-10.54,-39.65,BA
61.7,-30.13,65.11,ID
91.08,-0.46,29.79,DA
81.35,22.67,17.48,DA
51.57,-52.87,15.46,BA
20.54,-4.47,9.36,NG
41.22,46.93,-24.7,PA
15.6,-0.02,0.02,NG
71.6,-24.87,85.15,DA
91.08,3.14,12.37,EL
41.22,-21.08,-28.21,BA
20.54,3.62,11.09,NG
91.08,-13.24,5.48,EL
81.35,-3.69,100.18,DA
30.77,28.36,-39.75,PA
41.22,61.4,17.92,ED
71.6,16.13,-17.52,EL
30.77,46.25,-9.51,PA
71.6,6.06,-22.71,BA
41.22,-4.87,43.26,ID
41.22,36.48,-25.75,PA
91.08,-12.17,45.9,DA
91.08,3.36,-4.24,EL
91.08,-12.69,1.23,EL
41.22,20.81,-48.05,PA
71.6,15.62,90.72,DA
30.77,-13.04,21.97,NG
20.54,-0.11,12.03,NG
30.77,-25.67,-10.89,BA
30.77,47.34,12.58,ED
81.35,-10.44,-12.79,EL
20.54,13.28,18.21,NG
91.08,1.12,-5.38,EL
61.7,49.15,56.82,ED
41.22,-53.57,23.28,BA
41.22,-20.46,-17.64,BA
81.35,-30.49,65.57,DA
61.7,44.69,79.79,ED
20.54,-17.18,-1.47,NG
81.35,-17.25,87.99,DA
91.08,5.53,2.22,EL
30.77,-6.44,26.57,ID
30.77,39.78,-27.99,PA
41.22,51.06,58.81,ED
30.77,-39.62,10.61,BA
20.54,15.99,14.49,NG
61.7,-36.77,-10.9,BA
30.77,-23.96,27.29,ID
81.35,8.19,-12.62,EL
30.77,-7.86,-33.8,BA
96,-0.06,0.06,EL
81.35,3.22,-14.27,EL
20.54,23.12,-31.33,PA
71.6,-2.3,85.64,DA
61.7,-41.11,0.19,BA
41.22,59.5,30.17,ED
20.54,29.26,-25.01,PA
41.22,-0.03,0.03,NG
30.77,3.1,25.71,ID
41.22,-52.68,3.36,BA
30.77,13.89,33.8,ID
91.08,-0.37,-5.58,EL
81.35,14.98,47.04,DA
41.22,-36.33,-13.61,BA
41.22,-14.57,40.52,ID
20.54,-9.22,-24.04,NG
71.6,13.67,-19.66,EL
30.77,-49.93,6.94,BA
51.57,-15.72,-29.08,BA
20.54,-13.39,-9.92,NG
41.22,-19.48,36.56,ID
91.08,-1.49,-5.61,EL
61.7,49.67,10.71,ED
81.35,15.1,90.21,DA
61.7,48.53,25.92,ED
91.08,-16.65,44.66,DA
20.54,35.15,15.44,PA
61.7,-52.22,16.26,BA
61.7,5.87,68.59,DA
20.54,36.42,-2.08,PA
41.22,4.42,40.43,ID
41.22,33.08,-30.5,PA
51.57,19.79,58.75,ID
71.6,-25.13,-11.03,BA
71.6,24.12,84.39,DA
81.35,-5.05,-23.28,EL
41.22,-39.09,-8.33,BA
51.57,27.4,-33.72,PA
71.6,-15.98,87.62,DA
20.54,36.64,9.24,NG
81.35,-32.18,1.81,BA
61.7,23.29,-23.79,PA
20.54,-3.09,10.75,UG
91.08,-13.13,7.63,EL
71.6,-18.37,-18.07,BA
20.54,10.16,21.44,UG
41.22,24.29,-38.02,PA
91.08,-10.76,13.38,EL
51.57,13.12,63.99,ID
30.77,-27.32,-6.72,BA
71.6,32.89,77.02,DA
71.6,10.25,-21.6,PA
81.35,-26.04,85.63,DA
30.77,-10.05,24.97,NG
91.08,-12.96,2.42,EL
51.57,14.19,-39.14,PA
91.08,-10.86,-2.13,EL
41.22,29.49,-34.06,PA
91.08,5.04,-1.14,EL
51.57,-6.4,58.71,ID
30.77,-19.73,-18.89,BA
20.54,-5.36,7.98,NG
91.08,5.51,3.28,EL
51.57,35.21,-24.66,PA
41.22,-0.21,42.37,ID
61.7,9.58,-30.64,PA
41.22,7.17,-48.94,BA
61.7,-21.81,70.54,DA
51.57,-36.19,-11.99,BA
91.08,4.31,-2.82,EL
91.08,-9.03,45.94,DA
20.54,35.97,-6.33,PA
91.08,-6.32,-5.08,EL
41.22,56.6,40.99,ED
61.7,-39.17,-5.88,BA
51.57,22.05,-37.02,PA
20.54,-14.85,15.25,NG
20.54,26.82,-27.84,PA
81.35,-42.41,23.78,BA
91.08,5.41,0.74,EL
71.6,0.85,-31.32,BA
20.54,1.58,11.89,NG
61.7,49.42,18.23,ED
71.6,-9.51,87.14,DA
30.77,40.89,36.03,ID
91.08,-14.67,29.61,DA
91.08,2.95,-4.85,EL
61.7,-0.04,0.04,EL
81.35,-6.82,-13.92,EL
30.77,-39.23,16.6,BA
41.22,32.37,46.62,ED
20.54,35.44,-10.4,PA
51.57,46.17,-23.4,PA
61.7,22.09,71.31,DA
20.54,-27.43,4.26,NG
91.08,-3.48,-5.55,EL
61.7,34.47,-24.03,PA
91.08,-0.05,0.06,EL
61.7,-7.92,73.21,DA
41.22,51.84,-8.08,ED
30.77,25.75,-49.63,BA
51.57,-25.02,50.55,ID
41.22,-41.21,-2.07,BA
30.77,18.18,30.27,ID
91.08,-9.69,-3.22,EL
91.08,2.19,-4.93,EL
51.57,5.33,54.9,ID
51.57,55.76,42.05,ED
71.6,-27.52,-7.11,BA
91.08,4.3,10.08,EL
91.08,-13.22,3.82,EL
91.08,-4.65,-5.34,EL
41.22,9.31,37.8,ID
30.77,33.51,-35.69,PA
81.35,7.28,109.12,DA
51.57,58.01,30.52,ED
71.6,-0.04,0.05,EL
51.57,-51.2,-1.36,BA
91.08,5.54,4.46,EL
81.35,-0.24,-24.03,EL
51.57,-18.37,55.88,ID
20.54,34.44,-14.69,PA
61.7,20.07,-26.92,PA
30.77,-3.32,26.87,ID
41.22,-14.67,-30.69,BA
20.54,-0.02,0.02,NG
20.54,23.81,-41.87,PA
91.08,5.27,-0.1,EL
71.6,-46.7,41.31,BA
30.77,44.87,-16.65,PA
71.6,30.67,44.56,DA
91.08,4.7,-2,EL
51.57,-11.71,58.46,ID
51.57,59.36,19.67,ED
91.08,5.43,5.64,EL
30.77,42.44,-23.6,PA
71.6,6.22,81.95,DA
91.08,-7.96,-4.41,EL
30.77,-27.26,20.69,ID
91.08,-11.94,-0.27,EL
81.35,-19.64,-4.3,ID
20.54,24.14,-14.33,BA
81.35,-33.04,4.96,IN
41.22,22.15,41.13,LA
20.54,7.63,-35.92,GA
20.54,-16.13,-4.67,ID
81.35,-10.94,87.9,DA
20.54,-27.79,7.33,BU
20.54,-9.52,-13.99,IN
81.35,-0.05,0.06,PU
20.54,-1.74,11.57,NG
61.7,-16.81,-28.31,BA
61.7,49.38,2.78,ED
91.08,-5.25,45.24,DA
51.57,31.24,-29.94,PA
30.77,-0.15,26.58,BU
30.77,7.86,-43.39,IN
91.08,5.21,7.67,EL
61.7,40.07,-3.44,LO
71.6,-41.95,14.43,ID
51.57,29.45,64.44,ED
81.35,-18.27,-7.01,ML
61.7,37.1,-18.34,BA
71.6,-40.28,53.23,DA
51.57,-11.88,-38.56,IN
41.22,52.58,-0.05,MD
