L,a,b,term
41.22,-54.08,14.27,LB
41.22,7.17,-48.94,LB
61.7,-21.81,70.54,WK
81.35,18.52,26.72,LE
51.57,-36.19,-11.99,LB
71.6,32.47,2.76,WK
30.77,28.16,36.05,WK
91.08,4.31,-2.82,F
91.08,-9.03,45.94,WK
20.54,35.97,-6.33,LB
91.08,-6.32,-5.08,F
41.22,56.6,40.99,LE
61.7,-39.17,-5.88,LB
51.57,22.05,-37.02,LB
20.54,-14.85,15.25,LB
30.77,-29.07,-1.92,LB
20.54,26.82,-27.84,LB
81.35,-42.41,23.78,F
91.08,5.41,0.74,F
71.6,-40.91,1.15,LB
71.6,0.85,-31.32,LB
20.54,1.58,11.89,LB
61.7,49.42,18.23,LE
30.77,-10.88,-24.2,LB
71.6,-9.51,87.14,WK
30.77,40.89,36.03,LE
91.08,-14.67,29.61,F
61.7,29.38,64.4,LE
91.08,2.95,-4.85,F
61.7,-0.04,0.04,LB
81.35,-6.82,-13.92,F
30.77,-39.23,16.6,LB
41.22,32.37,46.62,WK
20.54,35.44,-10.4,LE
71.6,-51.55,27.69,LB
51.57,46.17,-23.4,LE
61.7,22.09,71.31,LE
20.54,-27.43,4.26,LB
91.08,-3.48,-5.55,F
61.7,34.47,-24.03,WK
91.08,-0.05,0.06,LF
61.7,-7.92,73.21,WK
41.22,51.84,-8.08,LE
30.77,-15.41,-22,LB
71.6,34.96,37.54,LE
30.77,25.75,-49.63,LB
51.57,-25.02,50.55,LB
41.22,-41.21,-2.07,LB
61.7,-55.94,49.19,LB
30.77,18.18,30.27,WK
91.08,-9.69,-3.22,LF
81.35,22.62,-5.51,LE
91.08,2.19,-4.93,LF
51.57,5.33,54.9,S
51.57,55.76,42.05,LE
71.6,-27.52,-7.11,LB
91.08,4.3,10.08,LF
51.57,5.02,-48.35,LB
81.35,23.74,6.18,WK
91.08,-13.22,3.82,LF
91.08,-4.65,-5.34,LF
41.22,9.31,37.8,S
30.77,33.51,-35.69,LB
81.35,7.28,109.12,LE
51.57,58.01,30.52,LE
51.57,-52.69,9.7,LB
71.6,-0.04,0.05,S
51.57,-51.2,-1.36,LB
91.08,5.54,4.46,LF
81.35,-0.24,-24.03,S
51.57,-18.37,55.88,LB
20.54,34.44,-14.69,S
81.35,-40.58,54.46,LB
51.57,-27.95,-22.24,LB
61.7,20.07,-26.92,S
30.77,-3.32,26.87,LB
61.7,-52.09,10.63,LB
41.22,-14.67,-30.69,LB
20.54,-0.02,0.02,S
20.54,23.81,-41.87,LB
91.08,5.27,-0.1,LF
71.6,-46.7,41.31,F
51.57,-38.59,-7,LB
30.77,44.87,-16.65,LE
71.6,30.67,44.56,LE
91.08,4.7,-2,F
51.57,-11.71,58.46,S
51.57,59.36,19.67,LE
71.6,-5.09,-30.75,LB
30.77,-39.18,2.14,LB
91.08,5.43,5.64,F
30.77,42.44,-23.6,S
71.6,6.22,81.95,LE
91.08,-7.96,-4.41,LF
30.77,-27.26,20.69,S
41.22,17.04,45.95,F
91.08,-11.94,-0.27,LF
61.7,-4.52,-39.18,LB
81.35,-19.64,-4.3,LF
51.57,55.2,68.32,LE
20.54,24.14,-14.33,WK
81.35,-33.04,4.96,LF
81.35,14.87,30.96,F
61.7,-46.97,64.65,F
30.77,47.63,5.24,LE
41.22,22.15,41.13,F
20.54,7.63,-35.92,LB
20.54,-16.13,-4.67,WK
81.35,-10.94,87.9,WK
20.54,-27.79,7.33,LB
20.54,-9.52,-13.99,LB
81.35,18.74,-12.74,WK
81.35,-0.05,0.06,LF
61.7,46.38,35.47,LE
20.54,-1.74,11.57,LB
61.7,-16.81,-28.31,WK
51.57,-56.86,49.22,F
61.7,49.38,2.78,LE
91.08,-5.25,45.24,LE
51.57,31.24,-29.94,F
30.77,-0.15,26.58,LB
41.22,-24.01,-14.24,LB
30.77,7.86,-43.39,LB
91.08,5.21,7.67,F
61.7,40.07,-3.44,LE
71.6,-41.95,14.43,F
51.57,29.45,64.44,LE
81.35,-18.27,-7.01,LF
61.7,37.1,-18.34,LE
71.6,-40.28,53.23,WK
51.57,-11.88,-38.56,LB
71.6,38.22,29.22,WK
20.54,-26.87,1.22,LB
61.7,2.64,-39.49,WK
41.22,52.58,-0.05,LE
41.22,-38.39,31.53,LB
61.7,-29.22,-21.27,LF
30.77,52.68,34.06,LE
61.7,-1.4,71.61,WK
20.54,0.11,-26.61,LB
91.08,5.44,1.5,LF
61.7,-51.58,26.3,WK
51.57,-0.03,0.04,WK
20.54,-17.35,7.46,LB
61.7,14.45,76.93,LE
71.6,-22.32,-14.67,LF
20.54,22.74,-16.65,LB
30.77,9.51,37.16,LE
91.08,-12.29,10.56,LF
30.77,46.93,-2.51,LE
41.22,-33.18,41.15,LB
61.7,-33.16,-16.42,F
81.35,21.06,22.4,LE
30.77,-22.84,-15.29,LB
51.57,-0.48,57.27,WK
81.35,9.68,-11.26,LF
20.54,-11.72,-12.03,LB
30.77,46.08,20.6,LE
61.7,15.28,-29.05,F
71.6,32.18,12.57,LE
41.22,-2.09,-40.81,LB
51.57,59.69,1.53,LE
91.08,1.28,14.41,LF
81.35,-33.8,12.41,WK
61.7,38.67,-11.63,LE
41.22,-9.31,43.05,WK
81.35,5.82,-13.42,LF
20.54,36.82,3.13,F
41.22,-53.43,8.61,LB
30.77,36.9,-32.14,F
81.35,-13.22,-11.59,LF
20.54,-16.46,11.28,LB
51.57,40.53,69.04,LE
51.57,-32.36,-17.71,LB
81.35,21.03,-9.69,LE
30.77,-0.02,0.03,LB
41.22,-10.54,-39.65,LB
61.7,-30.13,65.11,F
71.6,-39.21,-4.56,F
91.08,-0.46,29.79,LF
81.35,22.67,17.48,LE
51.57,-52.87,15.46,LB
71.6,38.97,-10.98,WK
20.54,-4.47,9.36,LB
41.22,46.93,-24.7,WK
15.6,-0.02,0.02,LB
20.54,-15.07,-7.11,LB
71.6,-24.87,85.15,WK
91.08,3.14,12.37,LF
41.22,-21.08,-28.21,LB
20.54,3.62,11.09,LB
91.08,-13.24,5.48,LF
81.35,-3.69,100.18,LE
30.77,28.36,-39.75,LB
41.22,61.4,17.92,LE
71.6,16.13,-17.52,F
81.35,-21.19,-1.35,LF
30.77,46.25,-9.51,LE
71.6,6.06,-22.71,LF
41.22,-4.87,43.26,WK
71.6,-14.22,-19.9,LF
41.22,36.48,-25.75,LE
91.08,-12.17,45.9,LF
91.08,3.36,-4.24,LF
91.08,-12.69,1.23,LF
41.22,20.81,-48.05,LB
71.6,15.62,90.72,LE
30.77,-13.04,21.97,LB
51.57,59.79,10.72,LB
20.54,-0.11,12.03,LB
30.77,-25.67,-10.89,LB
30.77,47.34,12.58,LE
81.35,-10.44,-12.79,LF
20.54,13.28,18.21,LB
71.6,40.04,-2.7,LE
61.7,-51.88,5.51,LB
91.08,1.12,-5.38,LF
61.7,49.15,56.82,LE
41.22,-53.57,23.28,LB
41.22,-20.46,-17.64,LB
81.35,-30.49,65.57,LE
61.7,44.69,79.79,LE
71.6,32.41,7.97,LE
20.54,-17.18,-1.47,LB
81.35,-17.25,87.99,LF
91.08,5.53,2.22,LF
30.77,-6.44,26.57,LB
30.77,39.78,-27.99,S
41.22,51.06,58.81,LE
30.77,-39.62,10.61,LB
20.54,15.99,14.49,S
41.22,49.84,-17.34,LE
61.7,-36.77,-10.9,LB
30.77,-23.96,27.29,LB
71.6,-12.05,-29.46,LF
81.35,8.19,-12.62,LF
30.77,-7.86,-33.8,LB
96,-0.06,0.06,LF
81.35,3.22,-14.27,LF
71.6,-34.49,79.15,S
20.54,23.12,-31.33,LB
71.6,-41.54,5.41,WK
71.6,-2.3,85.64,LE
61.7,-41.11,0.19,LB
41.22,59.5,30.17,LE
81.35,-38.45,34.02,LF
20.54,29.26,-25.01,LB
71.6,31.7,17.23,LE
71.6,26.62,-18.32,WK
61.7,-13.07,-37.55,LB
41.22,-0.03,0.03,LB
30.77,3.1,25.71,LB
41.22,-52.68,3.36,WK
30.77,13.89,33.8,WK
91.08,-0.37,-5.58,LF
81.35,14.98,47.04,LE
81.35,23.82,2.52,WK
71.6,-41.85,9.77,WK
41.22,61.57,8.63,LE
41.22,-36.33,-13.61,LB
51.57,-3.41,-48.08,LB
41.22,-14.57,40.52,WK
20.54,-9.22,-24.04,LB
71.6,13.67,-19.66,F
30.77,-49.93,6.94,LB
51.57,-15.72,-29.08,LB
20.54,-13.39,-9.92,LB
41.22,-19.48,36.56,WK
91.08,-1.49,-5.61,LF
61.7,49.67,10.71,LE
81.35,15.1,90.21,WK
81.35,-16.44,-9.33,LF
61.7,48.53,25.92,LE
91.08,-16.65,44.66,LF
30.77,0.29,-43.03,LB
20.54,35.15,15.44,WK
61.7,-52.22,16.26,LB
61.7,5.87,68.59,WK
20.54,36.42,-2.08,LE
41.22,4.42,40.43,WK
41.22,33.08,-30.5,LB
51.57,19.79,58.75,LE
71.6,-25.13,-11.03,LF
71.6,24.12,84.39,LE
51.57,-21.72,-26.63,LB
81.35,-5.05,-23.28,LF
81.35,23.53,-0.96,WK
41.22,-39.09,-8.33,LB
51.57,27.4,-33.72,WK
71.6,-15.98,87.62,WK
20.54,36.64,9.24,LE
51.57,-40.14,52.84,WK
81.35,-32.18,1.81,LF
61.7,23.29,-23.79,F
20.54,-3.09,10.75,LB
91.08,-13.13,7.63,LF
71.6,-18.37,-18.07,F
81.35,23.18,13.11,LE
51.57,-63.28,28.95,WK
51.57,48.98,-15.95,LE
20.54,10.16,21.44,LB
41.22,24.29,-38.02,WK
91.08,-10.76,13.38,LF
51.57,51.2,-5.84,LE
51.57,13.12,63.99,WK
30.77,-27.32,-6.72,LB
20.54,25.15,16.6,WK
61.7,-22.98,-25.73,LB
71.6,32.89,77.02,LE
71.6,10.25,-21.6,LF
81.35,-26.04,85.63,WK
71.6,29.26,-13.95,LE
30.77,-10.05,24.97,LB
81.35,23.67,9.47,LE
61.7,-14.02,73.17,WK
91.08,-12.96,2.42,LF
51.57,14.19,-39.14,LB
91.08,-10.86,-2.13,LF
41.22,29.49,-34.06,WK
51.57,-51.99,4.46,LB
91.08,5.04,-1.14,LF
51.57,-6.4,58.71,WK
30.77,-19.73,-18.89,LB
20.54,-5.36,7.98,LB
20.54,-5.25,-25.49,LB
81.35,-33.63,8.67,LF
91.08,5.51,3.28,LF
51.57,35.21,-24.66,WK
41.22,-0.21,42.37,WK
61.7,9.58,-30.64,WK
41.22,-54.08,14.27,LB
41.22,7.17,-48.94,LB
61.7,-21.81,70.54,WK
81.35,18.52,26.72,LE
51.57,-36.19,-11.99,LB
71.6,32.47,2.76,LE
30.77,28.16,36.05,LB
91.08,4.31,-2.82,LF
91.08,-9.03,45.94,LF
20.54,35.97,-6.33,WK
91.08,-6.32,-5.08,LF
41.22,56.6,40.99,LE
61.7,-39.17,-5.88,LB
51.57,22.05,-37.02,WK
20.54,-14.85,15.25,LB
30.77,-29.07,-1.92,LB
20.54,26.82,-27.84,WK
81.35,-42.41,23.78,LF
91.08,5.41,0.74,LF
71.6,-40.91,1.15,F
71.6,0.85,-31.32,F
20.54,1.58,11.89,LB
61.7,49.42,18.23,LE
30.77,-10.88,-24.2,LB
71.6,-9.51,87.14,LE
30.77,40.89,36.03,LE
91.08,-14.67,29.61,LF
61.7,29.38,64.4,LE
91.08,2.95,-4.85,LF
61.7,-0.04,0.04,WK
81.35,-6.82,-13.92,LF
30.77,-39.23,16.6,LB
41.22,32.37,46.62,WK
20.54,35.44,-10.4,LE
71.6,-51.55,27.69,LB
51.57,46.17,-23.4,LE
61.7,22.09,71.31,LE
20.54,-27.43,4.26,LB
91.08,-3.48,-5.55,LF
61.7,34.47,-24.03,LE
91.08,-0.05,0.06,LF
61.7,-7.92,73.21,WK
41.22,51.84,-8.08,LE
30.77,-15.41,-22,LB
71.6,34.96,37.54,LE
30.77,25.75,-49.63,LB
51.57,-25.02,50.55,WK
41.22,-41.21,-2.07,LB
61.7,-55.94,49.19,WK
30.77,18.18,30.27,LE
91.08,-9.69,-3.22,LF
81.35,22.62,-5.51,WK
91.08,2.19,-4.93,LF
51.57,5.33,54.9,LE
51.57,55.76,42.05,LE
71.6,-27.52,-7.11,LB
91.08,4.3,10.08,LF
51.57,5.02,-48.35,LB
81.35,23.74,6.18,LE
91.08,-13.22,3.82,LF
91.08,-4.65,-5.34,LF
41.22,9.31,37.8,WK
30.77,33.51,-35.69,LB
81.35,7.28,109.12,LE
51.57,58.01,30.52,LE
51.57,-52.69,9.7,LB
71.6,-0.04,0.05,LF
51.57,-51.2,-1.36,LB
91.08,5.54,4.46,LF
81.35,-0.24,-24.03,WK
51.57,-18.37,55.88,WK
20.54,34.44,-14.69,LE
81.35,-40.58,54.46,LF
51.57,-27.95,-22.24,LB
61.7,20.07,-26.92,LB
30.77,-3.32,26.87,LB
61.7,-52.09,10.63,WK
41.22,-14.67,-30.69,LB
20.54,-0.02,0.02,LB
20.54,23.81,-41.87,LB
91.08,5.27,-0.1,LF
71.6,-46.7,41.31,WK
51.57,-38.59,-7,WK
30.77,44.87,-16.65,LE
71.6,30.67,44.56,LE
91.08,4.7,-2,LF
51.57,-11.71,58.46,WK
51.57,59.36,19.67,LE
71.6,-5.09,-30.75,LF
30.77,-39.18,2.14,LB
91.08,5.43,5.64,LF
30.77,42.44,-23.6,LE
71.6,6.22,81.95,LE
91.08,-7.96,-4.41,LF
30.77,-27.26,20.69,LB
41.22,17.04,45.95,WK
91.08,-11.94,-0.27,LF
61.7,-4.52,-39.18,LF
81.35,-19.64,-4.3,F
51.57,55.2,68.32,LE
20.54,24.14,-14.33,WK
81.35,-33.04,4.96,LF
81.35,14.87,30.96,LE
61.7,-46.97,64.65,F
30.77,47.63,5.24,LE
41.22,22.15,41.13,WK
20.54,7.63,-35.92,LB
20.54,-16.13,-4.67,F
81.35,-10.94,87.9,LE
20.54,-27.79,7.33,F
20.54,-9.52,-13.99,LB
81.35,18.74,-12.74,F
81.35,-0.05,0.06,LF
61.7,46.38,35.47,LE
20.54,-1.74,11.57,WK
61.7,-16.81,-28.31,LF
51.57,-56.86,49.22,F
61.7,49.38,2.78,LE
91.08,-5.25,45.24,LF
51.57,31.24,-29.94,WK
30.77,-0.15,26.58,F
41.22,-24.01,-14.24,F
30.77,7.86,-43.39,LB
91.08,5.21,7.67,LF
61.7,40.07,-3.44,LE
71.6,-41.95,14.43,LF
51.57,29.45,64.44,LE
81.35,-18.27,-7.01,LF
61.7,37.1,-18.34,LE
71.6,-40.28,53.23,F
51.57,-11.88,-38.56,WK
71.6,38.22,29.22,LE
20.54,-26.87,1.22,F
61.7,2.64,-39.49,WK
41.22,52.58,-0.05,LE
41.22,-38.39,31.53,F
61.7,-29.22,-21.27,LF
30.77,52.68,34.06,LE
61.7,-1.4,71.61,F
20.54,0.11,-26.61,LB
91.08,5.44,1.5,LF
61.7,-51.58,26.3,LF
51.57,-0.03,0.04,F
20.54,-17.35,7.46,WK
61.7,14.45,76.93,F
71.6,-22.32,-14.67,LF
20.54,22.74,-16.65,WK
30.77,9.51,37.16,F
91.08,-12.29,10.56,LF
30.77,46.93,-2.51,LE
41.22,-33.18,41.15,F
61.7,-33.16,-16.42,LF
81.35,21.06,22.4,LE
30.77,-22.84,-15.29,F
51.57,-0.48,57.27,GB
81.35,9.68,-11.26,LF
20.54,-11.72,-12.03,LB
30.77,46.08,20.6,LE
61.7,15.28,-29.05,F
71.6,32.18,12.57,LE
41.22,-2.09,-40.81,F
51.57,59.69,1.53,LE
91.08,1.28,14.41,LF
81.35,-33.8,12.41,LF
61.7,38.67,-11.63,LE
41.22,-9.31,43.05,F
81.35,5.82,-13.42,LF
20.54,36.82,3.13,LE
41.22,-53.43,8.61,LF
30.77,36.9,-32.14,F
81.35,-13.22,-11.59,LF
20.54,-16.46,11.28,LB
51.57,40.53,69.04,LE
51.57,-32.36,-17.71,F
81.35,21.03,-9.69,LF
30.77,-0.02,0.03,LB
41.22,-10.54,-39.65,F
61.7,-30.13,65.11,GB
71.6,-39.21,-4.56,LF
91.08,-0.46,29.79,LF
81.35,22.67,17.48,LE
51.57,-52.87,15.46,F
71.6,38.97,-10.98,LE
20.54,-4.47,9.36,LB
41.22,46.93,-24.7,LE
15.6,-0.02,0.02,LB
20.54,-15.07,-7.11,LB
71.6,-24.87,85.15,F
91.08,3.14,12.37,LF
41.22,-21.08,-28.21,LF
20.54,3.62,11.09,LB
91.08,-13.24,5.48,LF
81.35,-3.69,100.18,LE
30.77,28.36,-39.75,F
41.22,61.4,17.92,LE
71.6,16.13,-17.52,LF
81.35,-21.19,-1.35,LF
30.77,46.25,-9.51,LE
71.6,6.06,-22.71,LF
41.22,-4.87,43.26,F
71.6,-14.22,-19.9,LF
41.22,36.48,-25.75,LE
91.08,-12.17,45.9,LF
91.08,3.36,-4.24,LF
91.08,-12.69,1.23,LF
41.22,20.81,-48.05,GB
71.6,15.62,90.72,LE
30.77,-13.04,21.97,F
51.57,59.79,10.72,LE
20.54,-0.11,12.03,LB
30.77,-25.67,-10.89,F
30.77,47.34,12.58,LE
81.35,-10.44,-12.79,LF
20.54,13.28,18.21,F
71.6,40.04,-2.7,LE
61.7,-51.88,5.51,LF
91.08,1.12,-5.38,LF
61.7,49.15,56.82,LE
41.22,-53.57,23.28,F
41.22,-20.46,-17.64,F
81.35,-30.49,65.57,F
61.7,44.69,79.79,LE
71.6,32.41,7.97,LE
20.54,-17.18,-1.47,LB
81.35,-17.25,87.99,LF
91.08,5.53,2.22,LF
30.77,-6.44,26.57,F
30.77,39.78,-27.99,GB
41.22,51.06,58.81,LE
30.77,-39.62,10.61,LF
20.54,15.99,14.49,F
41.22,49.84,-17.34,LE
61.7,-36.77,-10.9,LF
30.77,-23.96,27.29,F
71.6,-12.05,-29.46,LF
81.35,8.19,-12.62,LF
30.77,-7.86,-33.8,LF
96,-0.06,0.06,LF
81.35,3.22,-14.27,LF
71.6,-34.49,79.15,F
20.54,23.12,-31.33,LB
71.6,-41.54,5.41,F
71.6,-2.3,85.64,LF
61.7,-41.11,0.19,F
41.22,59.5,30.17,LE
81.35,-38.45,34.02,LF
20.54,29.26,-25.01,F
71.6,31.7,17.23,LE
71.6,26.62,-18.32,LE
61.7,-13.07,-37.55,LF
41.22,-0.03,0.03,LB
30.77,3.1,25.71,F
41.22,-52.68,3.36,GB
30.77,13.89,33.8,LE
91.08,-0.37,-5.58,LF
81.35,14.98,47.04,LE
81.35,23.82,2.52,LE
71.6,-41.85,9.77,F
41.22,61.57,8.63,LE
41.22,-36.33,-13.61,F
51.57,-3.41,-48.08,LB
41.22,-14.57,40.52,GB
20.54,-9.22,-24.04,LB
71.6,13.67,-19.66,F
30.77,-49.93,6.94,F
51.57,-15.72,-29.08,LB
20.54,-13.39,-9.92,LB
41.22,-19.48,36.56,F
91.08,-1.49,-5.61,LF
61.7,49.67,10.71,LE
81.35,15.1,90.21,LE
81.35,-16.44,-9.33,LF
61.7,48.53,25.92,LE
91.08,-16.65,44.66,LF
30.77,0.29,-43.03,F
20.54,35.15,15.44,LE
61.7,-52.22,16.26,F
61.7,5.87,68.59,LE
20.54,36.42,-2.08,LE
41.22,4.42,40.43,F
41.22,33.08,-30.5,LB
51.57,19.79,58.75,LE
71.6,-25.13,-11.03,LF
71.6,24.12,84.39,LE
51.57,-21.72,-26.63,G
81.35,-5.05,-23.28,LF
81.35,23.53,-0.96,LE
41.22,-39.09,-8.33,G
51.57,27.4,-33.72,F
71.6,-15.98,87.62,GB
20.54,36.64,9.24,LE
51.57,-40.14,52.84,F
81.35,-32.18,1.81,LF
61.7,23.29,-23.79,F
20.54,-3.09,10.75,LB
91.08,-13.13,7.63,LF
71.6,-18.37,-18.07,LF
81.35,23.18,13.11,LE
51.57,-63.28,28.95,F
51.57,48.98,-15.95,LE
20.54,10.16,21.44,LB
41.22,24.29,-38.02,WK
91.08,-10.76,13.38,LF
51.57,51.2,-5.84,LE
51.57,13.12,63.99,LE
30.77,-27.32,-6.72,LB
20.54,25.15,16.6,LE
61.7,-22.98,-25.73,LB
71.6,32.89,77.02,LE
71.6,10.25,-21.6,LF
81.35,-26.04,85.63,WK
71.6,29.26,-13.95,LE
30.77,-10.05,24.97,LB
81.35,23.67,9.47,LE
61.7,-14.02,73.17,F
91.08,-12.96,2.42,LF
51.57,14.19,-39.14,LB
91.08,-10.86,-2.13,LF
41.22,29.49,-34.06,LE
51.57,-51.99,4.46,LB
91.08,5.04,-1.14,LF
51.57,-6.4,58.71,F
30.77,-19.73,-18.89,LB
20.54,-5.36,7.98,GB
20.54,-5.25,-25.49,GB
81.35,-33.63,8.67,LF
91.08,5.51,3.28,LF
51.57,35.21,-24.66,LE
41.22,-0.21,42.37,WK
61.7,9.58,-30.64,F
41.22,-54.08,14.27,LB
41.22,7.17,-48.94,LB
61.7,-21.81,70.54,GB
81.35,18.52,26.72,LE
51.57,-36.19,-11.99,LB
71.6,32.47,2.76,LE
30.77,28.16,36.05,LE
91.08,4.31,-2.82,LF
91.08,-9.03,45.94,F
20.54,35.97,-6.33,LE
91.08,-6.32,-5.08,LF
41.22,56.6,40.99,LE
61.7,-39.17,-5.88,GB
51.57,22.05,-37.02,F
20.54,-14.85,15.25,LB
30.77,-29.07,-1.92,LB
20.54,26.82,-27.84,F
81.35,-42.41,23.78,LF
91.08,5.41,0.74,LF
71.6,-40.91,1.15,WK
71.6,0.85,-31.32,LF
20.54,1.58,11.89,LB
61.7,49.42,18.23,LE
30.77,-10.88,-24.2,GB
71.6,-9.51,87.14,F
30.77,40.89,36.03,LE
91.08,-14.67,29.61,LF
61.7,29.38,64.4,LE
91.08,2.95,-4.85,LF
61.7,-0.04,0.04,F
81.35,-6.82,-13.92,F
30.77,-39.23,16.6,GB
41.22,32.37,46.62,LE
20.54,35.44,-10.4,WK
71.6,-51.55,27.69,LF
51.57,46.17,-23.4,LE
61.7,22.09,71.31,LE
20.54,-27.43,4.26,F
91.08,-3.48,-5.55,LF
61.7,34.47,-24.03,LE
91.08,-0.05,0.06,LF
61.7,-7.92,73.21,WK
41.22,51.84,-8.08,LE
30.77,-15.41,-22,F
71.6,34.96,37.54,LE
30.77,25.75,-49.63,LB
51.57,-25.02,50.55,F
41.22,-41.21,-2.07,LB
61.7,-55.94,49.19,F
30.77,18.18,30.27,LE
91.08,-9.69,-3.22,LF
81.35,22.62,-5.51,LE
91.08,2.19,-4.93,LF
51.57,5.33,54.9,F
51.57,55.76,42.05,LE
71.6,-27.52,-7.11,LF
91.08,4.3,10.08,LF
51.57,5.02,-48.35,LB
81.35,23.74,6.18,LE
91.08,-13.22,3.82,LF
91.08,-4.65,-5.34,LF
41.22,9.31,37.8,GB
30.77,33.51,-35.69,LB
81.35,7.28,109.12,LE
51.57,58.01,30.52,LE
51.57,-52.69,9.7,LB
71.6,-0.04,0.05,LF
51.57,-51.2,-1.36,F
91.08,5.54,4.46,LF
81.35,-0.24,-24.03,LF
51.57,-18.37,55.88,LB
20.54,34.44,-14.69,GB
81.35,-40.58,54.46,LF
51.57,-27.95,-22.24,LB
61.7,20.07,-26.92,F
30.77,-3.32,26.87,LB
61.7,-52.09,10.63,LB
41.22,-14.67,-30.69,LB
20.54,-0.02,0.02,LB
20.54,23.81,-41.87,LB
91.08,5.27,-0.1,LF
71.6,-46.7,41.31,F
51.57,-38.59,-7,GB
30.77,44.87,-16.65,LE
71.6,30.67,44.56,LE
91.08,4.7,-2,LF
51.57,-11.71,58.46,GB
51.57,59.36,19.67,LE
71.6,-5.09,-30.75,LF
30.77,-39.18,2.14,F
91.08,5.43,5.64,LF
30.77,42.44,-23.6,LE
71.6,6.22,81.95,LE
91.08,-7.96,-4.41,LF
30.77,-27.26,20.69,LB
41.22,17.04,45.95,LE
91.08,-11.94,-0.27,LF
61.7,-4.52,-39.18,G
81.35,-19.64,-4.3,F
51.57,55.2,68.32,LE
20.54,24.14,-14.33,WK
81.35,-33.04,4.96,F
81.35,14.87,30.96,WK
61.7,-46.97,64.65,LB
30.77,47.63,5.24,WK
41.22,22.15,41.13,F
20.54,7.63,-35.92,G
20.54,-16.13,-4.67,LB
81.35,-10.94,87.9,WK
20.54,-27.79,7.33,LB
20.54,-9.52,-13.99,LB
81.35,18.74,-12.74,F
81.35,-0.05,0.06,LF
61.7,46.38,35.47,LE
20.54,-1.74,11.57,LB
61.7,-16.81,-28.31,G
51.57,-56.86,49.22,LB
61.7,49.38,2.78,WK
91.08,-5.25,45.24,F
51.57,31.24,-29.94,WK
30.77,-0.15,26.58,LB
41.22,-24.01,-14.24,G
30.77,7.86,-43.39,G
91.08,5.21,7.67,F
61.7,40.07,-3.44,LE
71.6,-41.95,14.43,F
51.57,29.45,64.44,WK
81.35,-18.27,-7.01,LF
61.7,37.1,-18.34,WK
71.6,-40.28,53.23,F
51.57,-11.88,-38.56,LB
71.6,38.22,29.22,WK
20.54,-26.87,1.22,LB
61.7,2.64,-39.49,G
41.22,52.58,-0.05,LE
41.22,-38.39,31.53,LB
61.7,-29.22,-21.27,F
30.77,52.68,34.06,LE
61.7,-1.4,71.61,WK
20.54,0.11,-26.61,G
91.08,5.44,1.5,F
61.7,-51.58,26.3,G
51.57,-0.03,0.04,LF
20.54,-17.35,7.46,LB
61.7,14.45,76.93,WK
71.6,-22.32,-14.67,LF
20.54,22.74,-16.65,WK
30.77,9.51,37.16,F
91.08,-12.29,10.56,LF
30.77,46.93,-2.51,LE
41.22,-33.18,41.15,LB
61.7,-33.16,-16.42,G
81.35,21.06,22.4,WK
30.77,-22.84,-15.29,LB
51.57,-0.48,57.27,WK
81.35,9.68,-11.26,LF
20.54,-11.72,-12.03,LB
30.77,46.08,20.6,LE
61.7,15.28,-29.05,F
71.6,32.18,12.57,WK
41.22,-2.09,-40.81,G
51.57,59.69,1.53,LE
91.08,1.28,14.41,F
81.35,-33.8,12.41,F
61.7,38.67,-11.63,WK
41.22,-9.31,43.05,LB
81.35,5.82,-13.42,LF
20.54,36.82,3.13,LE
41.22,-53.43,8.61,G
30.77,36.9,-32.14,WK
81.35,-13.22,-11.59,LF
20.54,-16.46,11.28,LB
51.57,40.53,69.04,LE
51.57,-32.36,-17.71,G
81.35,21.03,-9.69,F
30.77,-0.02,0.03,LB
41.22,-10.54,-39.65,LB
61.7,-30.13,65.11,LB
71.6,-39.21,-4.56,G
91.08,-0.46,29.79,F
81.35,22.67,17.48,WK
51.57,-52.87,15.46,G
71.6,38.97,-10.98,WK
20.54,-4.47,9.36,LB
41.22,46.93,-24.7,LE
15.6,-0.02,0.02,LB
20.54,-15.07,-7.11,LB
71.6,-24.87,85.15,F
91.08,3.14,12.37,LF
41.22,-21.08,-28.21,G
20.54,3.62,11.09,LB
91.08,-13.24,5.48,LF
81.35,-3.69,100.18,WK
30.77,28.36,-39.75,G
41.22,61.4,17.92,LE
71.6,16.13,-17.52,F
81.35,-21.19,-1.35,LF
30.77,46.25,-9.51,LE
71.6,6.06,-22.71,F
41.22,-4.87,43.26,LB
71.6,-14.22,-19.9,G
41.22,36.48,-25.75,WK
91.08,-12.17,45.9,F
91.08,3.36,-4.24,LF
91.08,-12.69,1.23,LF
41.22,20.81,-48.05,G
71.6,15.62,90.72,LE
30.77,-13.04,21.97,LB
51.57,59.79,10.72,LE
20.54,-0.11,12.03,LB
30.77,-25.67,-10.89,G
30.77,47.34,12.58,LE
81.35,-10.44,-12.79,LF
20.54,13.28,18.21,LB
71.6,40.04,-2.7,WK
61.7,-51.88,5.51,G
91.08,1.12,-5.38,LF
61.7,49.15,56.82,LE
41.22,-53.57,23.28,G
41.22,-20.46,-17.64,LB
81.35,-30.49,65.57,F
61.7,44.69,79.79,LE
71.6,32.41,7.97,WK
20.54,-17.18,-1.47,LB
81.35,-17.25,87.99,F
91.08,5.53,2.22,LF
30.77,-6.44,26.57,LB
30.77,39.78,-27.99,WK
